Front,Back
1 TOR = KW = BTU/hr,1 TOR = 3.517 KW = 12000 BTU/hr
1 slug = kg,1 slug = 14.6 kg
1 ksi = psi,1 ksi = 1000 psi
1 kN = Lbf,1 kN = 225 Lbf
1 BTU = kJ = Lbf-ft,1 BTU = 1.055kJ = 778 Lbf-ft
1 HP = kW = ft lb/s = Btu/hr,1 HP = .746kW = 550 ft lb/s = 2545Btu/hr
"1 ft^3 = gal = L
1 m^3 = L","1 ft^3 = 7.48 gal = 28.3 L
1 m^3 = 1000L"
1kg = lbm,1kg = 2.205 lbm
1 mile = ft,1 mile = 5280 ft
1 fathom = ft,1 fathom = 6ft
1 furlong = yrd,1 furlong = 220yrd
1 gal = quartz,1 gal =  4quartz
Rankine = Kelvin,Rankine = 1.8Kelvin
1 kip = lbf,1 kip = 1000lbf
1 deg = mils,1 deg = 17.78mils
1 nautical mile = km,1 nautical mile = 1.852km
deg C to deg F,F = 1.8C + 32
"deg F to deg R
deg C to deg K","R = F + 460
K = C + 273"
